name,formername,status,address,city,state,zip,county,accreditedby,statelicenseno,initiallicensedate,licenseeffective,licenseexpire,licenseename,administratorname,source,link,documents,note,date_collected
THE MIDWIFE CENTER FOR BIRTH AND WOMEN'S HEALTH,NA,Active,2831 PENN AVENUE,PITTSBURGH,PA,15222,NA,Accredited by the Commission for the Accreditation of Birth Centers,16633301,NA,NA,NA,NA,NA,Pennsylvania Department of Health Health Care Facilities,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/CommonPOCSelect.asp?formSubmitted=normalformSearch,https://www.documentcloud.org/documents/5032803-MIDWIFECENTERFORBIRTHANDWOMENSHEALTH-PA.html,NA,Oct-18
THE MIDWIFE GROUP WOMEN'S HEALTH AND BIRTH CENTER,FAMILY HEALTH AND BIRTH CENTER,Active,1692 CHATHAM PARKWAY,SAVANNAH,GA,31405,NA,Accredited by the Commission for the Accreditation of Birth Centers,025-003,2008-07-27T00:00:00Z,2008-07-27T00:00:00Z,NA,NA,Nancy Belin,Georgia Department of Human Resources,http://gamap2care.info/Locator.html#cat=Healthcare&search=FACTYPE%20CONTAINS%20IGNORING%20CASE%20'Birthing%20Center'&title=Birthing%20Centers,NA,NA,Jun-18
THE NATURAL BIRTHING CENTER,NA,Active,405 NORTH MAIN STREET,SALADO,TX,76571,BELL,NA,150032,2013-07-23T00:00:00Z,NA,2019-07-31T00:00:00Z,NA,Sandra Tallbear,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
THE NATURAL BIRTHING CENTER LLC,NA,Active,1101 SATELLITE VIEW SUITE 104,ROUND ROCK,TX,78665,WILLIAMSON,NA,150057,2017-06-05T00:00:00Z,NA,2019-06-30T00:00:00Z,NA,Sandra Tallbear,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
THE NATURAL BIRTHOUSE,ACADIANA BIRTH HOUSE,Active,803 S MORGAN,BROUSSARD,LA,70518,NA,NA,NA,NA,NA,NA,NA,NA,The Natural Birth House,https://www.naturalbirthhouse.com/contact,NA,NA,Jun-18
THE NEST BIRTH CENTER PLLC,NA,Active,208 E BROAD STREET SUITE 104,MANSFIELD,TX,76063,TARRANT,NA,150060,2017-06-22T00:00:00Z,NA,2019-06-30T00:00:00Z,NA,Patricia Gross,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
THE OCALA BIRTH CENTER,NA,Active,5455 SE MARICAMP ROAD,OCALA,FL,NA,Marion,NA,344,NA,2017-03-25T00:00:00Z,2019-03-24T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032750-Ocala-FL.html,NA,Apr-18
"THE PHOENIX BIRTH CENTER, LLC",NA,Active,531 EAST LYNWOOD STREET,PHOENIX,AZ,NA,MARICOPA,NA,UNC7949,NA,2017-11-01T00:00:00Z,2018-10-31T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,NA,NA,Oct-18
THE RETREAT,NA,Active,1312 RIO GRANDE AVE,EL PASO,TX,79902,EL PASO,NA,150045,2015-08-05T00:00:00Z,NA,2019-08-31T00:00:00Z,NA,Lynn Arnold,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
TREASURE VALLEY MIDWIVES,NA,Active,207 W WASHINGTON STREET,BOISE,ID,83702,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Treasure Valley Midwives,https://treasurevalleymidwives.com/the-birth-center.php,NA,NA,Jun-18
TREE OF LIFE BIRTH & GYNECOLOGY,NA,Active,125 W PLYMOUTH AVENUE SUITE A,DELAND,FL,NA,Volusia,Accredited by the Commission for the Accreditation of Birth Centers,343,NA,2016-11-09T00:00:00Z,2018-11-08T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032755-Tree-of-Life-Deland-FL.html,NA,Apr-18
TREE OF LIFE BIRTH & GYNECOLOGY,NA,Active,1010 ARTHUR AVENUE,ORLANDO,FL,NA,Orange,Accredited by the Commission for the Accreditation of Birth Centers,353,NA,2017-05-07T00:00:00Z,2019-05-06T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032754-Tree-of-Life-Orlando-FL.html,NA,Apr-18
"TREE OF LIFE BIRTH CENTER, LLC",NA,Pending,1214 SPRING STREET,JEFFERSONVILLE,IN,47130,CLARK,NA,14834,NA,NA,NA,NA,NA,Indiana State Department of Health,NA,NA,NA,Aug-18
TREE OF LIFE FOR HEALTHY BIRTHING AND PARENTING,NA,Active,"617 SAXONY PLACE, SUITE 103",ENCINITAS,CA,NA,SAN DIEGO,Accredited by the Commission for the Accreditation of Birth Centers,550003143,2015-07-02T00:00:00Z,2017-07-02T00:00:00Z,2017-07-02T00:00:00Z,NA,Susan Melnikow,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
TULSA BIRTH CENTER,NA,Active,5750 E 31ST STREET,TULSA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tulsa Birth Center,http://tulsabirthcenter.com/,NA,NA,Jun-18
VALLEY BIRTHPLACE,NA,Active,2355 HUNTINGDON PIKE,HUNTINGDON VALLEY,PA,19006,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Pennsylvania Department of Health Health Care Facilities,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/CommonPOCSelect.asp?formSubmitted=normalformSearch,https://www.documentcloud.org/documents/5032804-VALLEYBIRTHPLACE-PA.html,NA,Oct-18
VENTURA BIRTH CENTER,NA,Unknown,3458 LOMA VISTA ROAD,VENTURA,CA,93003,NA,NA,NO DATA,NA,NA,NA,NA,NA,Ventura Birth Center,http://www.venturabirthcenter.net/contact.html,NO DATA,NA,Jun-18
WACO BIRTH CENTER AND CLINIC,NA,Active,1525 AUSTIN AVENUE,WACO,TX,76701,MCLENNAN,NA,150052,2016-11-17T00:00:00Z,NA,2018-11-30T00:00:00Z,NA,Brenda Keep,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
WASATCH MIDWIFERY AND WELLNESS CENTER,NA,Active,6440 SOUTH WASATCH BOULEVARD SUITE 140,HOLLADAY,UT,84121,SALT LAKE,Accredited by the Commission for the Accreditation of Birth Centers,2017--UT000826,NA,NA,2018-04-13T00:00:00Z,NA,Adrienne Brown,Utah Health Facility Licensing,http://health.utah.gov/hflcra/facinfo.php,NA,NA,Jul-18
WELL-ROUNDED MATERNITY CENTER,NA,Active,2455 S HOWELL AVENUE,MILWAULKEE,WI,53207,NA,NA,NA,NA,NA,NA,NA,NA,Well-Rounded Maternity Center,http://well-roundedmaternity.com/,NA,NA,Oct-18
WELLSPRING MIDWIFERY CARE AND BIRTH CENTER,NA,Active,794A RUSSELL PALMER ROAD,KINGWOOD,TX,77339,MONTGOMERY,NA,150047,2015-11-03T00:00:00Z,NA,2019-11-30T00:00:00Z,NA,Karla Mercieca,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
WENATCHEE MIDWIFE SERVICE AND CHILDBIRTH CENTER,NA,Active,310 S MISSION STREET,WENATCHEE,WA,98801,NA,NA,CBC.FS.00000017,NA,NA,2019-03-31T00:00:00Z,Wenatchee Midwife Service and Childbirth Center LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
"WEST HOUSTON BIRTH CENTER,  PLLC",NA,Active,11321 RICHMOND AVENUE SUITE M100,HOUSTON,TX,77080,HARRIS,NA,150028,2012-12-06T00:00:00Z,NA,2018-12-31T00:00:00Z,NA,Holly Shearman,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046615-WestHoustonBirthCenter-TX.html,NA,Jun-18
WICHITA FALLS BIRTH AND WELLNESS CENTER LLC,NA,Active,912 BURNETT STREET,WICHITA FALLS,TX,76301,WICHITA,Accredited by the Commission for the Accreditation of Birth Centers,150054,2017-02-28T00:00:00Z,NA,2019-02-28T00:00:00Z,NA,Crystal Snider,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
WILLOW MIDWIFE CENTER FOR BIRTH AND WELLNESS,NA,Active,"2045 SOUTH VINEYARD, BUILDING 2E, SUITE 136",MESA,AZ,85210,MARICOPA,Accredited by the Commission for the Accreditation of Birth Centers,UNC7859,NA,2017-09-01T00:00:00Z,2018-08-31T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,https://www.documentcloud.org/documents/5032719-Willow-Midwife-Center-for-Birth-amp-Wellness.html,NA,Oct-18
WILLOW MIDWIVES PLLC,NA,Active,3033 EXCELSIOR BOULEVARD SUITE 585,MINNEAPOLIS,MN,55416,NA,Accredited by the Commission for the Accreditation of Birth Centers,HFID-31316,11/24/14,NA,NA,NA,NA,Minnesota Department of Health,http://www.health.state.mn.us/divs/fpc/directory/2018mdhdirectory.pdf,NO DATA,NA,Jun-18
WNC BIRTH CENTER,NA,Active,390 SOUTH FRENCH BROAD,ASHEVILLE,NC,28802,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,WNC Birth Center,https://wncbirthcenter.com/about/,NA,NA,Jun-18
WOMANCARE BIRTH & BREASTFEEDING CENTER,NA,Active,20 EAST CHERRY AVENUE,FLAGSTAFF,AZ,NA,COCONINO,NA,UNC7843,NA,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,NA,NA,Oct-18
WOMANCARE MIDWIVES,NA,Active,7084 ASH STREET,BONNERS FERRY,ID,83805,NA,NA,NA,NA,NA,NA,NA,NA,WomanCare Midwives,http://www.nidahomidwives.com/,NA,NA,Jun-18
WOMEN'S BIRTH AND WELLNESS CENTER,NA,Active,930 MLK JR BOULEVARD #202,CHAPEL HILL,NC,27514,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Women's Birth and Wellness Center,https://ncbirthcenter.org/,NA,NA,Jun-18
WOMENCARE WOMEN'S HEALTH AND BIRTH CENTER,NA,Active,3911 TEAYS VALLEY ROAD,HURRICANE,WV,25526,NA,Accredited by the Commission for the Accreditation of Birth Centers,502005,NA,NA,NA,NA,NA,West Virginia Department of Health and Human Resources Office of Health Facility Licensure & Certification,https://ohflac.wvdhhr.org/Apps/Lookup/FacilitySearch,NA,Part of a clinic/healthcare system,Oct-18
